varietal,title,excerpt,points,price,location,region
Cabernet Sauvignon,Davies 2012 Round Pond Vineyards Cabernet Sauvignon (Rutherford),"Softly approachable and delicious, this 100% varietal wine from the middle of ...",93,80,Napa,United States
Cabernet Sauvignon,Beaulieu Vineyard 2012 Clone 4 Cabernet Sauvignon (Rutherford),Aiming to highlight one Cab clone grown in the dusty soils of ...,93,145,Napa,United States
Cabernet Sauvignon,Padis 2010 Cabernet Sauvignon (Napa Valley),"Made by Robert Foley, a sought-after winemaker in the Napa Valley, this ...",93,95,Napa,United States
Cabernet Sauvignon,Raymond 2012 District Collection Cabernet Sauvignon (Rutherford),"Cherry-berry crumble topped with vanilla cream gives this wine a brambly, succulent ...",92,85,Napa,United States
Cabernet Sauvignon,William Hill Estate 2012 Cabernet Sauvignon (Napa Valley),This impressive wine dances in hearty clove and cinnamon sparked by a ...,92,45,Napa,United States
Cabernet Sauvignon,Psagot 2012 Cabernet Sauvignon (Judean Hills),"This wine has a bouquet of raspberry, bell pepper, ground black pepper ...",92,30,Israel,Israel
Cabernet Sauvignon,18401 Cellars 2013 Cabernet Sauvignon (Walla Walla Valley (OR)),This wine is all varietal coming from the esteemed Seven Hills Vineyard. ...,92,75,Oregon,United States
Cabernet Sauvignon,Lobo 2012 Wulff Vineyards Cabernet Sauvignon (Napa Valley),"From the Oak Knoll District and estate-grown fruit, this 100% varietal wine ...",92,58,Napa,United States
Cabernet Sauvignon,Parallel 2012 Cabernet Sauvignon (Napa Valley),"Dusty, silky tannins wrap themselves around dried herb, cedar and rich, dark ...",92,72,Napa,United States
Cabernet Sauvignon,Diamond Creek 2012 Fortieth Anniversary Gravelly Meadow Cabernet Sauvignon (Diamond Mountain District),"Leather saddle and chocolate overlay a juicy midpalate of cassis, blackberry and ...",91,200,Napa,United States
Cabernet Sauvignon,PreVail 2012 Back Forty Cabernet Sauvignon (Alexander Valley),"Smoky cigar and toffee caramel hit the high notes in this soft, ...",91,90,Sonoma,United States
Cabernet Sauvignon,Louis M. Martini 2012 Lot No. 1 Cabernet Sauvignon (Napa Valley),"Reduced and highly concentrated, this powerful wine is brooding in black peppercorn, ...",91,145,Napa,United States
Cabernet Sauvignon,Spring Mountain Vineyard 2012 Cabernet Sauvignon (Napa Valley),This grippy Cab exhibits the power of the 10% Petit Verdot in ...,91,75,Napa,United States
Cabernet Sauvignon,1848 Winery 2012 Second Generation Cabernet Sauvignon (Judean Hills),"Inky red violet in the glass, this wine features aromas of raspberry, ...",91,25,Israel,Israel
Cabernet Sauvignon,Binyamina 2012 Reserve Cabernet Sauvignon (Upper Galilee),"Dark red violet in color, this wine has aromas of cherry, lavender ...",91,25,Israel,Israel
Cabernet Sauvignon,Provenance Vineyards 2012 Barrel Select Cabernet Sauvignon (Rutherford),"A juiciness of cherry and vanilla spark the opening of this wine, ...",91,60,Napa,United States
Cabernet Sauvignon,Raymond 2012 District Collection Cabernet Sauvignon (St. Helena),Sweetened tannins highlight a depth of chocolate and blackberry in this 100% ...,91,85,Napa,United States
Cabernet Sauvignon,Eagle Glen 2013 Cabernet Sauvignon (Napa Valley),"From a multiplicity of vineyards, this wine works and is a tremendous ...",91,22,Napa,United States
Cabernet Sauvignon,Galerie 2012 Latro Cabernet Sauvignon (Knights Valley),"Dense, rich red fruit belies an elegant wine that finds balance despite ...",91,50,Sonoma,United States
Cabernet Sauvignon,Bazelet HaGolan 2012 Cabernet Sauvignon (Golan Heights),Restrained aromas of black plum barely set the stage for flavors of ...,91,40,Israel,Israel
Cabernet Sauvignon,Michael Mondavi Family Estate 2012 Emblem Oso Vineyard Cabernet Sauvignon (Napa Valley),"Bittersweet at first, with sizable tannins, this Cab also contains smaller amounts ...",91,60,Napa,United States
Cabernet Sauvignon,Louis M. Martini 2012 Cabernet Sauvignon (Napa Valley),"Rich blackberry and chocolate form around chalky tannins and a juicy palate, ...",90,38,Napa,United States
Cabernet Sauvignon,Segal's 2012 Special Reserve Cabernet Sauvignon (Galilee),"This wine is dark red-violet color to the eye, offering aromas of ...",90,20,Israel,Israel
Cabernet Sauvignon,Yatir 2010 Cabernet Sauvignon (Judean Hills),"Dark black cherry in color, this wine offers a bouquet of cherry ...",90,55,Israel,Israel
Cabernet Sauvignon,Tabor 2013 Mt. Tabor Cabernet Sauvignon (Galilee),"Dark garnet in the glass, this wine has a nose of strawberry, ...",90,15,Israel,Israel
Cabernet Sauvignon,Carmel 2011 Kayoumi Single Vineyard Cabernet Sauvignon (Galilee),A nose of wild blackberry and brambles lays the groundwork for a ...,90,40,Israel,Israel
Cabernet Sauvignon,Azari 2009 Cabernet Sauvignon (Rutherford),"Cherry-berry and vanilla surround a soft, spicy core of high-toned red fruit. ...",90,125,Napa,United States
Cabernet Sauvignon,Leto 2012 The Hidden One Exceptional Selection Cabernet Sauvignon (St. Helena),"A minuscule amount of this wine is made, coming from 45-year-old vines. ...",90,100,Napa,United States
Cabernet Sauvignon,Raymond 2012 Estate Collection Cabernet Sauvignon (Napa Valley),"Dark plum and milk chocolate are the stars of this chalky, soft ...",90,50,Napa,United States
Cabernet Sauvignon,Gallo Estate 2010 Cabernet Sauvignon (Northern Sonoma),"Sanguine in red plum, clove and dark chocolate, this bottle-aged, full-bodied wine ...",90,95,Sonoma,United States
Cabernet Sauvignon,Laurel Glen 2013 Counterpoint Cabernet Sauvignon (Sonoma Mountain),"A blend of 85% Cabernet Sauvignon with 15% Merlot, this was built ...",90,40,Sonoma,United States
Cabernet Sauvignon,Mathew Bruno 2012 Cabernet Sauvignon (Napa Valley),"Sourced from the southeastern section of the Rutherford appellation and 100% varietal, ...",90,100,Napa,United States
Cabernet Sauvignon,Shiloh Winery 2012 Secret Reserve Cabernet Sauvignon (Judean Hills),"A red-violet color, this wine has a bouquet of blackberry, lilac and ...",90,40,Israel,Israel
Cabernet Sauvignon,Or Haganuz 2011 Namura Single Vineyard Special Reserve Cabernet Sauvignon (Galilee),"This wine has a bouquet of cassis, violet and black pepper. Well-integrated ...",90,52,Israel,Israel
Cabernet Sauvignon,Raymond 2012 Reserve Selection Cabernet Sauvignon (Napa Valley),"Succulent in red cherry and cassis, this wine has a surprising level ...",90,38,Napa,United States
Cabernet Sauvignon,Jamie Slone Wines 2012 Cabernet Sauvignon (Happy Canyon of Santa Barbara),This bottling offers plum and plump blackberry on the nose along with ...,90,65,Central Coast,United States
Cabernet Sauvignon,Forefathers 2012 Lone Tree Vineyard Cabernet Sauvignon (Alexander Valley),"Winemaker Nick Goldschmidt does wonders with this consistent vineyard source, coaxing out ...",90,50,Sonoma,United States
Cabernet Sauvignon,Flam 2011 Reserve Cabernet Sauvignon (Galilee),"Aromas of black currant, orange zest and lemon thyme set the scene ...",90,70,Israel,Israel
Cabernet Sauvignon,Salvestrin 2012 Salvestrin Estate Vineyard Cabernet Sauvignon (St. Helena),"Mouthcoating, this is a full-bodied wine with small amounts of Merlot and ...",90,64,Napa,United States
